ZoneNumber,day_of_week,hour_of_day,avg_active_cars
0309,7,20,1
0310,1,8,7
0310,1,9,9.25
0310,1,10,8.75
0310,1,11,7.25
0310,1,12,5
0310,1,13,5.5
0310,1,14,4.5
0310,1,15,2.25
0310,1,16,2
0310,1,17,2.5
0310,1,18,1.5
0310,1,19,1
0310,1,20,1
0310,2,8,7
0310,2,9,6.75
0310,2,10,7.5
0310,2,11,5
0310,2,12,8.25
0310,2,13,5.75
0310,2,14,5.75
0310,2,15,5
0310,2,16,3.75
0310,2,17,2.75
0310,2,18,1.75
0310,2,19,1.5
0310,2,20,1.5
0310,3,8,6.75
0310,3,9,8.5
0310,3,10,8.75
0310,3,11,9
0310,3,12,6.75
0310,3,13,6
0310,3,14,5.75
0310,3,15,6
0310,3,16,3
0310,3,17,3.33
0310,3,18,2
0310,3,19,2.33
0310,3,20,1
0310,4,8,8.25
0310,4,9,8.5
0310,4,10,9.25
0310,4,11,9.25
0310,4,12,8
0310,4,13,7.75
0310,4,14,5
0310,4,15,4.5
0310,4,16,5.25
0310,4,17,3.25
0310,4,18,4
0310,4,19,2.25
0310,4,20,2.25
0310,5,8,7.6
0310,5,9,8.4
0310,5,10,8
0310,5,11,8.2
0310,5,12,7.8
0310,5,13,6
0310,5,14,6.8
0310,5,15,4
0310,5,16,3.25
0310,5,17,3
0310,5,18,1.6
0310,5,19,1.33
0310,5,20,1
0310,6,8,3.4
0310,6,9,3.4
0310,6,10,4.2
0310,6,11,4
0310,6,12,4.6
0310,6,13,3.8
0310,6,14,2.8
0310,6,15,3.2
0310,6,16,1.8
0310,6,17,2.6
0310,6,18,1.8
0310,6,19,2
0310,6,20,1.25
0310,7,8,2.6
0310,7,9,3
0310,7,10,3
0310,7,11,3.2
0310,7,12,4.4
0310,7,13,4.6
0310,7,14,3.4
0310,7,15,2.25
0310,7,16,1.5
0310,7,17,2
0310,7,18,1
0310,7,19,1.67
0310,7,20,1
0311,1,8,3.25
0311,1,9,3.5
0311,1,10,3.5
0311,1,11,4.25
0311,1,12,3.75
0311,1,13,4.75
0311,1,14,3.75
0311,1,15,2.5
0311,1,16,3.5
0311,1,17,1.75
0311,1,18,1.67
0311,1,19,2
0311,1,20,1
0311,2,8,5.75
0311,2,9,7
0311,2,10,6
0311,2,11,5.25
0311,2,12,3.75
0311,2,13,4.25
0311,2,14,2.75
0311,2,15,3.33
0311,2,16,2.25
0311,2,17,2
0311,2,18,2.33
0311,2,19,1.5
0311,2,20,1
0311,3,8,3.25
0311,3,9,4.25
0311,3,10,5.25
0311,3,11,2.75
0311,3,12,4
0311,3,13,4
0311,3,14,3.5
0311,3,15,2.33
0311,3,16,2.67
0311,3,17,2
0311,3,18,1.5
0311,3,19,2
0311,3,20,2
0311,4,8,3.25
0311,4,9,4
0311,4,10,4.5
0311,4,11,5.25
0311,4,12,5.67
0311,4,13,5.75
0311,4,14,4
0311,4,15,2.5
0311,4,16,2.75
0311,4,17,2.5
0311,4,18,1.75
0311,4,19,2.33
0311,4,20,1.5
0311,5,8,3
0311,5,9,3.4
0311,5,10,4.6
0311,5,11,5.4
0311,5,12,4.4
0311,5,13,3
0311,5,14,3.33
0311,5,15,2
0311,5,16,2.25
0311,5,17,1.5
0311,5,18,2
0311,5,19,1
0311,5,20,1.5
0311,6,8,2
0311,6,9,1.33
0311,6,10,2
0311,6,11,2.6
0311,6,12,1.75
0311,6,13,2.33
0311,6,14,1.75
0311,6,15,2.25
0311,6,16,1.75
0311,6,17,2
0311,6,18,2
0311,6,19,1
0311,6,20,1.5
0311,7,8,1.67
0311,7,9,1.33
0311,7,10,2
0311,7,11,2.33
0311,7,12,2
0311,7,13,2
0311,7,14,1.4
0311,7,15,1.67
0311,7,16,1.8
0311,7,17,1.25
0311,7,18,1
0312,1,8,3.5
0312,1,9,2.75
0312,1,10,3
0312,1,11,2
0312,1,12,1.67
0312,1,13,2.75
0312,1,14,2.25
0312,1,15,1
0312,1,17,2
0312,2,8,4.25
0312,2,9,2.5
0312,2,10,3.5
0312,2,11,3.67
0312,2,12,2.33
0312,2,13,2.75
0312,2,14,6
0312,2,15,2
0312,2,16,2
0312,2,17,1.5
0312,2,18,1
0312,2,19,1
0312,3,8,3
0312,3,9,3
0312,3,10,4.33
0312,3,11,2.5
0312,3,12,3.25
0312,3,13,3.75
0312,3,14,2
0312,3,15,2
0312,3,16,1
0312,3,17,1
0312,3,18,2
0312,3,19,1
0312,3,20,1
0312,4,8,4
0312,4,9,2.5
0312,4,10,3.25
0312,4,11,2
0312,4,12,2.5
0312,4,13,2.75
0312,4,14,1.67
0312,4,15,1.75
0312,4,16,1.33
0312,4,17,1
0312,4,18,1
0312,4,19,1
0312,4,20,1
0312,5,8,3
0312,5,9,3
0312,5,10,2
0312,5,11,2
0312,5,12,2.67
0312,5,13,2
0312,5,14,1.5
0312,5,15,2
0312,5,16,1.33
0312,5,17,1
0312,5,18,1.5
0312,5,19,1
0312,5,20,1
0312,6,9,2
0312,6,11,1.4
0312,6,12,1
0312,6,13,1.5
0312,6,14,1
0312,6,15,1.5
0312,6,16,1.5
0312,6,17,1
0312,6,18,1
0312,7,8,1
0312,7,9,1
0312,7,10,1
0312,7,11,1
0312,7,12,1.5
0312,7,13,1.5
0312,7,14,2
0312,7,15,1
0312,7,16,1
0312,7,17,1
0312,7,18,1
0312,7,19,1
0313,1,8,1.5
0313,1,9,2
0313,1,10,2
0313,1,11,1.5
0313,1,12,2
0313,1,13,1.5
0313,1,14,1.33
0313,1,15,2
0313,1,16,1
0313,1,17,1
0313,1,18,1
0313,2,8,2
0313,2,9,1.67
